ordinal	row_kind	path	byte_start	byte_end	attribute_kind	item_key	line_start	line_end	cohort	compile_domain	compile_domain_status	role	role_status	candidate_owner_ref	candidate_evidence_refs	owner_evidence_status	candidate_successor_status	successor_basis_or_blocker	review_state
0	dead_code_allowance	src/lib.rs	3169	3188	outer_allow	abi::text_scan_aot_export_facts	119	119	B	production_default	file_observed		unreviewed			missing	unknown	runtime owner candidate exists but successor/retention evidence is not reviewed for this site	blocked_successor
1	dead_code_allowance	src/mir/builder.rs	3802	3821	outer_allow	canonical_physical_drain	76	76	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
2	dead_code_allowance	src/mir/builder.rs	4512	4531	outer_allow	drained_module_candidate	90	90	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
3	dead_code_allowance	src/mir/builder.rs	5144	5163	outer_allow	function_signature_lookup	105	105	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
4	dead_code_allowance	src/mir/builder.rs	5461	5480	outer_allow	main_expansion	113	113	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
5	dead_code_allowance	src/mir/builder.rs	6495	6514	outer_allow	raw_root_environment_install	133	133	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
6	dead_code_allowance	src/mir/builder.rs	7358	7377	outer_allow	raw_source_projection	150	150	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
7	dead_code_allowance	src/mir/builder.rs	9360	9379	outer_allow	main_pending_draft	186	186	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
8	dead_code_allowance	src/mir/builder.rs	9542	9561	outer_allow	main_root_wiring	190	190	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
9	dead_code_allowance	src/mir/builder.rs	9647	9666	outer_allow	me_call_header_observation	192	192	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
10	dead_code_allowance	src/mir/builder.rs	9985	10004	outer_allow	module_declaration_facts	199	199	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
11	dead_code_allowance	src/mir/builder.rs	10481	10500	outer_allow	module_finalization_once	210	210	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
12	dead_code_allowance	src/mir/builder.rs	10641	10660	outer_allow	module_finalization_split	214	214	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
13	dead_code_allowance	src/mir/builder.rs	10833	10852	outer_allow	module_invocation_brand0	218	218	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
14	dead_code_allowance	src/mir/builder.rs	10990	11009	outer_allow	module_invocation_drain	222	222	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
15	dead_code_allowance	src/mir/builder.rs	11176	11195	outer_allow	module_invocation_identity	226	226	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
16	dead_code_allowance	src/mir/builder.rs	11349	11368	outer_allow	module_invocation_owner_chain	230	230	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
17	dead_code_allowance	src/mir/builder.rs	11447	11466	outer_allow	module_invocation_route_matrix	232	232	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
18	dead_code_allowance	src/mir/builder.rs	11503	11522	outer_allow	normal_module_transaction	234	234	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
19	dead_code_allowance	src/mir/builder.rs	14376	14395	outer_allow	module_invocation_callable_batch	284	284	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
20	dead_code_allowance	src/mir/builder.rs	14559	14578	outer_allow	module_invocation_collection	288	288	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
21	dead_code_allowance	src/mir/builder.rs	17456	17475	outer_allow	cataloged_box_method_collector_handoff	328	328	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
22	dead_code_allowance	src/mir/builder.rs	17801	17820	outer_allow	module_lowering_borrow_schedule	335	335	B	production_default	file_observed		unreviewed			missing	unknown	builder.rs mixes active and disconnected sites; site-level owner review is required	blocked_mixed_role
